,DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media
28,2022-08-30 23:58:23+00:00,1564764499080404992,America’s fight over abortions has fired up women voters ,r1ms31dk,en,,0,0,0,0,
29,2022-08-30 23:58:22+00:00,1564764497004433412,"White House aides were still debating how often - or if at all - the words “Donald Trump” would appear in Thursday’s primetime speech

Regardless, it will be a broadside on GOP, painting it as out of step with voters on abortion, guns and voting rights ",JonLemire,en,,6,13,95,3,
30,2022-08-30 23:58:22+00:00,1564764494580039680," When you call someone a wolf in sheep's clothing means that person is hiding who they really are

Tim Ryan on the other hand has been open on his views of abortions &amp; LGBTQ+ rights ",Tea_Leigh_20,en,,0,0,5,0,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FbcpAsGWQAEEXYF.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/FbcpAsGWQAEEXYF.mp4', contentType='video/mp4', bitrate=0)], altText='Parker Young Reaction GIF by CBS')]"
31,2022-08-30 23:58:19+00:00,1564764482454290432,  I have never advocated the abortion of a 28-week-old fetus. 28 weeks is beyond the point of fetal viability and I do not support the abortion of viable fetuses. Embryos cannot feel pain. Why call me a demon for pointing out biological facts?,JosephFordCotto,en,,0,0,0,0,
32,2022-08-30 23:58:18+00:00,1564764478826315779, Im a republican that does think there needs to be a better framework for abortion.  You acting like a loon does the cause no good.,Fishn4Crypto,en,,0,0,0,0,
33,2022-08-30 23:58:14+00:00,1564764464322433025,Have you seen any stories yet about doctors who have been charged with a crime for performing abortions?,MasterOfMoxie,en,,0,0,1,0,
34,2022-08-30 23:58:11+00:00,1564764448249634816, Can’t help felling that the majority of anti-abortion Republican zealots are incels.,letat_lechat,en,,0,0,3,0,
35,2022-08-30 23:58:09+00:00,1564764443774525442,Abortion pill: Why Japanese women will need their partner's consent to get a tablet ,BBCNewsAsia,en,,0,3,2,0,
36,2022-08-30 23:58:09+00:00,1564764441559834630,Abortion pill: Why Japanese women will need their partner's consent to get a tablet ,BBCIndia,en,,0,0,1,0,
37,2022-08-30 23:58:07+00:00,1564764432030642182,"   You claimed abortion bans are not pro life, because death still happens. Your articles demonstratively prove death is minimized in the case of abortion when they are banned. The presumption that banning abortions is not pro life is false. On its face. With your own information",clunky343_,en,,1,0,0,0,
38,2022-08-30 23:58:03+00:00,1564764417304264705,SC House approves abortion ban with exceptions ,wyffnews4,en,,0,2,1,0,
